20th Century Women,Annette Bening,Elle Fanning,Mike Mills,A24 Films,01/13/2017-01/19/2017,0.002200
20th Century Women,Annette Bening,Elle Fanning,Mike Mills,A24 Films,01/20/2017-01/26/2017,0.010835
20th Century Women,Annette Bening,Elle Fanning,Mike Mills,A24 Films,01/27/2017-02/02/2017,0.006954
20th Century Women,Annette Bening,Elle Fanning,Mike Mills,A24 Films,02/03/2017-02/09/2017,0.004400
20th Century Women,Annette Bening,Elle Fanning,Mike Mills,A24 Films,02/10/2017-02/16/2017,0.001076
20th Century Women,Annette Bening,Elle Fanning,Mike Mills,A24 Films,02/17/2017-02/23/2017,0.001003
3 Idiotas,Martha Higareda,Alfonso Dosal,Carlos Bolado,Pantelion Films,06/02/2017-06/08/2017,0.003026
3 Idiotas,Martha Higareda,Alfonso Dosal,Carlos Bolado,Pantelion Films,06/09/2017-06/15/2017,0.001662
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,06/16/2017-06/22/2017,0.057508
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,06/23/2017-06/29/2017,0.051797
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,06/30/2017-07/06/2017,0.027688
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,07/07/2017-07/13/2017,0.014166
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,07/14/2017-07/20/2017,0.007518
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,07/21/2017-07/27/2017,0.002503
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,07/28/2017-08/03/2017,0.001403
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,08/04/2017-08/10/2017,0.002150
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,08/11/2017-08/17/2017,0.001253
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,08/18/2017-08/24/2017,0.001460
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,08/25/2017-08/31/2017,0.001596
47 Meters Down,Mandy Moore,Claire Holt,Johannes Roberts,Dimension Films,09/01/2017-09/07/2017,0.002718
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,10/27/2017-11/02/2017,0.041355
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,11/03/2017-11/09/2017,0.100763
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,11/10/2017-11/16/2017,0.080318
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,11/17/2017-11/23/2017,0.032635
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,11/24/2017-11/30/2017,0.028265
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,12/01/2017-12/07/2017,0.034035
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,12/08/2017-12/14/2017,0.032025
A Bad Moms Christmas,Mila Kunis,Kristen Bell,Scott Moore,STXfilms,12/15/2017-12/21/2017,0.003957
A Cure for Wellness,Dane DeHaan,Jason Isaacs,Gore Verbinski,20th Century Fox,02/17/2017-02/23/2017,0.027539
A Cure for Wellness,Dane DeHaan,Jason Isaacs,Gore Verbinski,20th Century Fox,02/24/2017-03/02/2017,0.011447
A Dog's Purpose,Josh Gad,Dennis Quaid,Lasse Hallström,Amblin Entertainment,01/27/2017-02/02/2017,0.120254
A Dog's Purpose,Josh Gad,Dennis Quaid,Lasse Hallström,Amblin Entertainment,02/03/2017-02/09/2017,0.100114
